text,intent
thank you,thanks
parcel_booking,parcel_booking
"19.97780465482046, 73.77563128660017",manage_address
John Doe 9876543210,use_my_details
Rahul Sharma 9876543210,use_my_details
how are you,greeting
pickup https://maps.app.goo.gl/1ENgXjqQP9JCDnvB7,parcel_booking
Can you find me some samosas,order_food
बवाँश्वाँ बवाँश्वाँ,chitchat
Add pizza to cart,order_food
how are you doing today?,chitchat
"thanks, that was nice of you",thanks
"hi, i am rahul from delhi",greeting
what did i tell you earlier?,repeat_order
hi there!,greeting
Heplo,greeting
प्लेस एन ओर्डर नाओ,order_food
raj 9983213121,use_my_details
कि मुझे एक ओडर प्लेस करना है पार्सल का तुरंत हुआ था,parcel_booking
"shantanu, 9370407508",use_my_details
"19.98983099878748, 73.77613351417814",manage_address
akash 9923383838,use_my_details
btn-0,chitchat
हुआ थी झाला हुआ था,chitchat
वो बद्याँ परसन्या,parcel_booking
उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है  उजे पर्सल भेजना है,parcel_booking
"📍 Location shared:
XQCP+4JH, Chintamani Colony, Bhagirath Sankul, Nashik, Maharashtra 422009, India
Road: Barne Road

Coordinates: 19.970256, 73.786782",manage_address
"📍 Location shared:
ASC-42, Ashwin Nagar, Nashik, Maharashtra 422009, India
Road: Barne Road

Coordinates: 19.960518, 73.758770",manage_address
order_food,order_food
Where is my order?,track_order
Track my delivery,track_order
I want to track my parcel,track_order
What is the status of my order?,track_order
Can you tell me where my package is?,track_order
How can I check my order status?,track_order
Show me my order tracking,track_order
I need to track something I ordered,track_order
Give me tracking update,track_order
Is my order out for delivery?,track_order
When will my parcel arrive?,track_order
Check delivery status,track_order
My order tracking please,track_order
Where is my food delivery?,track_order
Track food order,track_order
Has my order been shipped?,track_order
Order status check,track_order
I want to see where my delivery is,track_order
I want to order food,order_food
Show tracking info,track_order
ETA for my delivery?,track_order
9,create_parcel_order
8,login
send a parcel,create_parcel_order
YES,repeat_order
https://maps.app.goo.gl/zWBWuV8QbrXEd48R8,manage_address
"19.964190567593565, 73.76975438931225",manage_address
2,chitchat
5,chitchat
online payment,checkout
cash on delivery,checkout
9923833883 ajasa,use_my_details
can you share me my saved address,manage_address
"cool, thanks",thanks
how are you?,chitchat
thanks for the help earlier,thanks
"hey, i am feeling a bit tired today",chitchat
i am doing ok,chitchat
मेरा ऑर्डर कहां है?,track_order
पार्सल ट्रैक करो,track_order
मेरी डिलीवरी कब आएगी?,track_order
ऑर्डर का स्टेटस बताओ,track_order
मेरा सामान कहां पहुंचा?,track_order
ट्रैकिंग दिखाओ,track_order
कब तक मिलेगा?,track_order
मेरा पैकेज कहां है?,track_order
डिलीवरी स्टेटस चेक करो,track_order
खाना कहां पहुंचा?,track_order
Mera order kaha hai?,track_order
Track karo mera parcel,track_order
Delivery kab tak aayegi?,track_order
Order status batao,track_order
Mera samaan kaha pahucha?,track_order
Tracking dikhao please,track_order
